Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
RegisterPage,10,589,578,886,886,1054,301,1054,"0,000%",",00926","0,02","0,00"
HomePage,220,611,446,868,1194,6242,281,8737,"0,000%",",18514","0,80","0,09"
Login,230,569,362,737,866,3351,307,8470,"0,000%",",19350","0,33","0,21"
AccountCreateRequest,10,556,453,502,502,1441,440,1441,"0,000%",",00926","0,01","0,02"
Logout,220,433,318,461,474,2988,300,7545,"0,000%",",18514","0,29","0,26"
AddSelected,120,1559,1237,1548,1857,15063,1072,16452,"2,500%",",10157","0,44","0,18"
ShoppingDetails,60,2240,1965,2507,2764,3324,1684,9730,"0,000%",",05078","0,42","0,27"
PaymentMethod,60,1274,1090,1380,1492,1679,886,9201,"0,000%",",05081","0,11","0,14"
DeleteAdded,22,313,215,470,505,685,186,685,"0,000%",",01896","0,01","0,01"
DeletePayed,22,1538,1138,1263,1296,10816,852,10816,"0,000%",",01894","0,07","0,03"
AccountPermanentDeleteRequest,6,625,397,408,1770,1770,386,1770,"0,000%",",00714","0,01","0,01"
TOTAL,980,831,457,1508,1970,6682,186,16452,"0,306%",",82403","2,49","1,21"
