Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
RegisterPage,10,589,301,1054,"252,41","0,000%",",00926","0,02","0,00","1866,0"
HomePage,220,611,281,8737,"984,63","0,000%",",18514","0,80","0,09","4401,0"
Login,230,569,307,8470,"757,75","0,000%",",19350","0,33","0,21","1734,9"
AccountCreateRequest,10,556,440,1441,"295,24","0,000%",",00926","0,01","0,02","1642,0"
Logout,220,433,300,7545,"677,03","0,000%",",18514","0,29","0,26","1631,5"
AddSelected,120,1559,1072,16452,"1881,56","2,500%",",10157","0,44","0,18","4445,5"
ShoppingDetails,60,2240,1684,9730,"1022,82","0,000%",",05078","0,42","0,27","8423,9"
PaymentMethod,60,1274,886,9201,"1041,95","0,000%",",05081","0,11","0,14","2125,4"
DeleteAdded,22,313,186,685,"139,97","0,000%",",01896","0,01","0,01","481,7"
DeletePayed,22,1538,852,10816,"2029,00","0,000%",",01894","0,07","0,03","3889,1"
AccountPermanentDeleteRequest,6,625,386,1770,"511,83","0,000%",",00714","0,01","0,01","1700,0"
TOTAL,980,831,186,16452,"1181,15","0,306%",",82403","2,49","1,21","3096,0"
