Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HomePage,1635,412,275,2149,"177,31","0,000%",",54758","2,35","0,26","4397,4"
Login,1705,458,302,2762,"191,66","0,000%",",57101","0,96","0,63","1724,0"
Logout,1633,372,296,2514,"125,11","0,000%",",54697","0,87","0,76","1631,5"
AddSelected,890,1304,990,4420,"304,55","4,607%",",29899","1,30","0,52","4463,3"
ShoppingDetails,445,2181,1629,5761,"440,36","0,000%",",14948","1,23","0,80","8417,2"
PaymentMethod,444,1196,813,5081,"295,66","0,000%",",14942","0,31","0,43","2127,7"
DeletePayed,137,870,609,2199,"192,74","0,000%",",04656","0,16","0,06","3473,7"
DeleteAdded,145,330,185,1320,"172,11","0,000%",",05000","0,02","0,02","483,9"
RegisterPage,70,295,279,439,"19,27","0,000%",",02451","0,04","0,01","1866,0"
AccountCreateRequest,70,461,436,1071,"74,99","0,000%",",02451","0,04","0,04","1642,0"
AccountPermanentDeleteRequest,38,396,375,482,"16,34","0,000%",",01401","0,02","0,02","1700,0"
TOTAL,7212,688,185,5761,"554,77","0,568%","2,41345","7,29","3,54","3093,8"
