Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HomePage,1635,412,434,477,603,1259,275,2149,"0,000%",",54758","2,35","0,26"
Login,1705,458,361,673,773,1004,302,2762,"0,000%",",57101","0,96","0,63"
Logout,1633,372,317,472,564,870,296,2514,"0,000%",",54697","0,87","0,76"
AddSelected,890,1304,1208,1542,1759,2627,990,4420,"4,607%",",29899","1,30","0,52"
ShoppingDetails,445,2181,2086,2540,2959,3715,1629,5761,"0,000%",",14948","1,23","0,80"
PaymentMethod,444,1196,1124,1462,1590,2487,813,5081,"0,000%",",14942","0,31","0,43"
DeletePayed,137,870,837,1071,1107,1416,609,2199,"0,000%",",04656","0,16","0,06"
DeleteAdded,145,330,321,510,614,915,185,1320,"0,000%",",05000","0,02","0,02"
RegisterPage,70,295,291,307,309,320,279,439,"0,000%",",02451","0,04","0,01"
AccountCreateRequest,70,461,450,464,471,557,436,1071,"0,000%",",02451","0,04","0,04"
AccountPermanentDeleteRequest,38,396,394,406,409,482,375,482,"0,000%",",01401","0,02","0,02"
TOTAL,7212,688,449,1365,1933,2494,185,5761,"0,568%","2,41345","7,29","3,54"
