timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1659971486496,601,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,2643,297,1,1,0,1,0
1659971487112,711,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,2001,1297,1,1,0,3,0
1659971487828,441,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1629,1375,1,1,0,0,0
1659971494562,974,HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-3,,true,,5866,644,1,3,0,2,0
1659971495541,343,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-3,,true,,1468,935,1,3,0,1,0
1659971494527,2149,HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-4,,true,,5866,644,1,3,0,3,0
1659971496681,662,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-4,,true,,1468,935,1,3,0,1,0
1659971495886,1866,AddSelected,200,"Number of samples in transaction : 4, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-3,,true,,3928,1740,1,3,0,9,0
1659971497346,1288,AddSelected,200,"Number of samples in transaction : 4, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-4,,true,,3991,1740,1,4,0,4,0
1659971498494,298,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,2643,297,2,4,0,1,0
1659971498794,780,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,2150,1311,2,4,0,2,0
1659971498989,758,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-4,,true,,1629,1477,1,4,0,1,0
1659971499576,323,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,1635,1383,2,4,0,2,0
1659971497770,2234,ShoppingDetails,200,"Number of samples in transaction : 8, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-3,,true,,8288,5518,1,4,0,7,0
1659971500012,1884,PaymentMethod,200,"Number of samples in transaction : 4, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-3,,true,,2100,2930,1,4,0,3,0
1659971501933,1037,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-3,,true,,1629,1477,1,4,0,3,0
1659971510494,420,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,2643,297,3,5,0,0,0
1659971510915,816,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,2007,1304,3,5,0,3,0
1659971511734,355,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,1635,1379,3,5,0,2,0
1659971514563,914,HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,5866,644,2,7,0,1,0
1659971515478,442,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,1454,929,2,7,0,2,0
1659971514527,1853,HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-3,,true,,5866,644,2,7,0,2,0
1659971516383,788,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-3,,true,,1460,932,2,7,0,1,0
1659971515922,1860,AddSelected,200,"Number of samples in transaction : 4, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,3631,1708,2,7,0,4,0
1659971517172,1152,AddSelected,200,"Number of samples in transaction : 4, number of failing samples : 2",jp@gc - Ultimate Thread Group 2-3,,false,,3395,1724,2,7,0,4,0
1659971518359,947,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-3,,true,,1629,1469,2,7,0,3,0
1659971517787,2413,ShoppingDetails,200,"Number of samples in transaction : 8, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,8809,5429,2,7,0,5,0
1659971520206,2022,PaymentMethod,200,"Number of samples in transaction : 4, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,2101,2897,2,7,0,4,0
1659971522493,303,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,2643,297,4,8,0,1,0
1659971522253,1098,DeletePayed,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,3561,1358,2,8,0,3,0
1659971522797,834,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,2145,1311,4,8,0,2,0
1659971523356,500,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 3-2,,true,,1629,1461,2,8,0,1,0
1659971523633,510,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,1635,1383,4,8,0,1,0
1659971534493,293,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,2643,297,5,11,0,1,0
1659971534526,456,HomePage,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 2-2,,true,,5866,644,3,11,0,2,0
